채취일자,2025-12-23
채취일자,2025-12-23
시료명,합성의약 일반 폐수
입회자,문성일 책임
채취자,방찬미 유경지
방류허용기준,기준없음
정도보증,O

No,구분,항목명,결과값,단위,분석방법,ES
1,일반항목,부유물질,1.6,㎎/L,부유물질,ES 04303.1c
2,일반항목,생물화학적 산소요구량,5.4,㎎/L,생물화학적 산소요구량(식종희석수를 이용한 시료),ES 04305.1c
3,일반항목,수소이온농도,3.51,-,수소이온농도,ES 04306.1d
4,일반항목,온도,29.45,℃,온도,ES 04307.1c
5,일반항목,총 유기탄소,13.43,㎎/L,고온연소산화법(가감법),ES 04311.1d
6,일반항목,화학적 산소요구량,67.2,㎎/L,적정법-알칼리성과망간산칼륨법,ES 04315.1b/2b
7,이온류,시안,불검출,㎎/L,자외선/가시선분광법,ES 04353.1e
8,이온류,총인,0.13,㎎/L,자외선/가시선분광법(과황산칼륨 분해한 경우),ES 04362.1c
9,이온류,총질소,5,㎎/L,자외선/가시선분광법-산화법,ES 04363.1a
10,이온류,페놀류,0.06,㎎/L,자외선/가시선분광법,ES 04365.1d
11,이온류,염소이온,61.6,㎎/L,적정법,ES 04356.3d
12,금속류,구리,0.044,㎎/L,유도결합플라즈마-원자발광분광법(검정곡선법),ES 04400.3d
13,휘발성유기화합물,다이클로로메탄,0.026,㎎/L,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),ES 04603.2b
14,휘발성유기화합물,클로로폼,0.01,㎎/L,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),ES 04603.2b
15,휘발성유기화합물,페놀,불검출,㎎/L,용매추출/기체크로마토그래피-질량분석법,ES 04611.1
