Cal_가감법(검량선용)_260401_0957;2026-04-01 오전 9:57:43;
측정점;C-공칭 [mg/l];Volume;I-전체 - 평균 [AU];I-전체 - 1 [AU];I-전체 - 2 [AU];I-전체 - 3 [AU];I-전체 - 4 [AU];I-전체 - 5 [AU];I-전체 - 6 [AU];I-전체 - 7 [AU];I-전체 - 8 [AU];I-전체 - 9 [AU];I-전체 - 10 [AU];
IC_00;0.00;0.5000;219.4;124.4;401.4;132.4;
IC_01;0.00;0.5000;117.3;108.7;104.7;138.5;
IC_02;2.50;0.5000;2617.9;2608.8;2639.9;2605.1;
IC_03;5.00;0.5000;4201.3;4144.3;4187.2;4272.5;
IC_04;25.00;0.5000;20325.5;20247.2;20371.8;20357.6;
IC_05;50.00;0.5000;36779.3;36317.1;36991.2;37029.6;
TC_00;0.00;0.5000;213.9;228.1;236.0;177.7;
TC_01;0.00;0.5000;221.2;212.8;213.7;237.2;
TC_02;5.00;0.5000;4391.9;4408.5;4373.4;4393.7;
TC_03;10.00;0.5000;7673.2;7698.1;7660.1;7661.4;
TC_04;50.00;0.5000;37707.0;37828.9;37578.1;37714.0;
TC_05;100.00;0.5000;71011.5;71168.6;70792.0;71074.0;
